LECROYWS42Xs;24809;Waveform
Segments;1;SegmentSize;10001
Segment;TrigTime;TimeSinceSegment1
#1;02-Jan-2003 02:48:20;0                 
Time;Ampl
0;0.529459
0.0005;0.154552
0.001;0.108686
0.0015;0.0990902
0.002;0.101203
0.0025;0.100681
0.003;0.0948144
0.0035;0.0990902
0.004;0.102819
0.0045;0.0964054
0.005;0.0953365
0.0055;0.102819
0.006;0.0948144
0.0065;0.0969523
0.007;0.103341
0.0075;0.0980213
0.008;0.0969523
0.0085;0.100681
0.009;0.0937454
0.0095;0.0969523
0.01;0.102272
0.0105;0.0964054
0.011;0.0964054
0.0115;0.101203
0.012;0.0964054
0.0125;0.0985433
0.013;0.103341
0.0135;0.0980213
0.014;0.0985433
0.0145;0.101203
0.015;0.0953365
0.0155;0.101203
0.016;0.102272
0.0165;0.0980213
0.017;0.0990902
0.0175;0.103341
0.018;0.0980213
0.0185;0.0974744
0.019;0.10175
0.0195;0.0990902
0.02;0.10175
0.0205;0.10175
0.021;0.0980213
0.0215;0.0980213
0.022;0.0996123
0.0225;0.100159
0.023;0.0990902
0.0235;0.102272
0.024;0.0996123
0.0245;0.100681
0.025;0.10441
0.0255;0.0990902
0.026;0.101203
0.0265;0.103888
0.027;0.100681
0.0275;0.102272
0.028;0.105479
0.0285;0.103341
0.029;0.102819
0.0295;0.105479
0.03;0.102819
0.0305;0.103888
0.031;0.106026
0.0315;0.106548
0.032;0.103341
0.0325;0.105479
0.033;0.10707
0.0335;0.10441
0.034;0.106026
0.0345;0.103341
0.035;0.10441
0.0355;0.103888
0.036;0.106026
0.0365;0.105479
0.037;0.103341
0.0375;0.106548
0.038;0.102272
0.0385;0.10441
0.039;0.108139
0.0395;0.10441
0.04;0.103888
0.0405;0.103888
0.041;0.105479
0.0415;0.10441
0.042;0.10441
0.0425;0.103888
0.043;0.10441
0.0435;0.103888
0.044;0.103888
0.0445;0.102819
0.045;0.10441
0.0455;0.103341
0.046;0.10441
0.0465;0.103888
0.047;0.103888
0.0475;0.102272
0.048;0.10175
0.0485;0.104957
0.049;0.103888
0.0495;0.102272
0.05;0.103888
0.0505;0.104957
0.051;0.105479
0.0515;0.105479
0.052;0.103888
0.0525;0.103888
0.053;0.102272
0.0535;0.10441
0.054;0.102272
0.0545;0.100159
0.055;0.102819
0.0555;0.105479
0.056;0.105479
0.0565;0.105479
0.057;0.102819
