LECROYWS42Xs;24809;Waveform
Segments;1;SegmentSize;10001
Segment;TrigTime;TimeSinceSegment1
#1;02-Jan-2003 02:46:05;0                 
Time;Ampl
0;-1.87727
0.0005;-1.93594
0.001;-1.49319
0.0015;-0.234674
0.002;0.690723
0.0025;1.13869
0.003;1.36529
0.0035;1.60804
0.004;1.78392
0.0045;1.78392
0.005;1.78392
0.0055;1.78392
0.006;1.78392
0.0065;1.78392
0.007;1.78392
0.0075;1.78392
0.008;1.78392
0.0085;1.78392
0.009;1.78392
0.0095;1.78392
0.01;1.78392
0.0105;1.78392
0.011;1.78392
0.0115;1.78392
0.012;1.78392
0.0125;1.78392
0.013;1.78392
0.0135;1.78392
0.014;1.78392
0.0145;1.78392
0.015;1.78392
0.0155;1.78392
0.016;1.78392
0.0165;1.78392
0.017;1.78392
0.0175;1.78392
0.018;1.78392
0.0185;1.7787
0.019;1.75198
0.0195;1.72525
0.02;1.70126
0.0205;1.65602
0.021;1.6027
0.0215;1.53595
0.022;1.48797
0.0225;1.43738
0.023;1.39462
0.0235;1.34938
0.024;1.30935
0.0245;1.26933
0.025;1.23465
0.0255;1.16803
0.026;1.08798
0.0265;0.962687
0.027;0.816015
0.0275;0.685378
0.028;0.562696
0.0285;0.447969
0.029;0.352011
0.0295;0.258664
0.03;0.165316
0.0305;0.104037
0.031;0.074703
0.0315;0.0853926
0.032;0.0853926
0.0325;0.101427
0.033;0.0907374
0.0335;0.101427
0.034;0.101427
0.0345;0.122682
0.035;0.109382
0.0355;0.111992
0.036;0.109382
0.0365;0.114727
0.037;0.101427
0.0375;0.101427
0.038;0.106648
0.0385;0.111992
0.039;0.109382
0.0395;0.111992
0.04;0.122682
0.0405;0.117337
0.041;0.125417
0.0415;0.125417
0.042;0.130761
0.0425;0.128027
0.043;0.109382
0.0435;0.0960822
0.044;0.0853926
0.0445;0.074703
0.045;0.0693582
0.0455;0.0614031
0.046;0.0320688
0.0465;0.0374136
0.047;0.0160344
0.0475;0.0160344
0.048;0.0134242
0.0485;0.0134242
0.049;0.0053448
0.0495;0.0106896
0.05;-0.00795507
0.0505;-0.0132999
0.051;-0.00261026
0.0515;-0.0132999
0.052;-0.0159101
0.0525;-0.0186447
0.053;-0.0159101
0.0535;-0.0105653
0.054;-0.00261026
0.0545;-9.16771e-009
0.055;0.0053448
0.0555;0.00807935
0.056;0.0106896
0.0565;0.0320688
0.057;0.0213792
0.0575;0.0374136
0.058;0.0453687
0.0585;0.0320688
0.059;0.0427585
0.0595;0.0720927
0.06;0.0586686
0.0605;0.0533238
0.061;0.0614031
0.0615;0.0640134
0.062;0.074703
0.0625;0.0826581
0.063;0.0960822
0.0635;0.106648
0.064;0.117337
0.0645;0.114727
0.065;0.120072
0.0655;0.125417
0.066;0.122682
0.0665;0.128027
0.067;0.128027
0.0675;0.130761
0.068;0.114727
0.0685;0.114727
0.069;0.120072
0.0695;0.114727
0.07;0.114727
0.0705;0.0933477
0.071;0.101427
0.0715;0.104037
0.072;0.101427
0.0725;0.0800478
0.073;0.0853926
0.0735;0.0853926
0.074;0.074703
0.0745;0.0800478
0.075;0.0507135
0.0755;0.0533238
0.076;0.0560583
0.0765;0.074703
0.077;0.0667479
0.0775;0.0773133
0.078;0.0720927
0.0785;0.0826581
0.079;0.0720927
0.0795;0.0720927
0.08;0.0853926
0.0805;0.074703
0.081;0.0640134
0.0815;0.074703
0.082;0.0667479
0.0825;0.0720927
0.083;0.0640134
0.0835;0.0586686
0.084;0.0614031
0.0845;0.0614031
0.085;0.0693582
0.0855;0.0773133
0.086;0.0826581
0.0865;0.0693582
0.087;0.074703
0.0875;0.0693582
0.088;0.0586686
0.0885;0.047979
0.089;0.0586686
0.0895;0.0374136
0.09;0.0427585
0.0905;0.026724
0.091;0.00807935
0.0915;-0.00534482
0.092;-0.0239895
0.0925;-0.0319446
0.093;-0.0346791
0.0935;-0.0426342
0.094;-0.055934
0.0945;-0.055934
0.095;-0.0346791
0.0955;-0.0533238
0.096;-0.0426342
0.0965;-0.0319446
0.097;-0.0239895
0.0975;-0.0452444
0.098;-0.0346791
0.0985;-0.0265997
0.099;-0.0293343
0.0995;-0.0186447
0.1;-0.0105653
0.1005;-0.0105653
0.101;0.00273454
0.1015;-0.00261026
0.102;-0.0159101
0.1025;-0.0319446
0.103;-0.0105653
0.1035;-0.047979
0.104;-0.0452444
0.1045;-0.047979
0.105;-0.0640134
0.1055;-0.0692339
0.106;-0.0933477
0.1065;-0.0985682
0.107;-0.111992
0.1075;-0.119947
0.108;-0.146671
0.1085;-0.149282
0.109;-0.165316
0.1095;-0.191916
0.11;-0.213295
0.1105;-0.199995
0.111;-0.22125
0.1115;-0.20795
0.112;-0.191916
0.1125;-0.197261
0.113;-0.186571
0.1135;-0.167926
0.114;-0.165316
0.1145;-0.157237
0.115;-0.146671
0.1155;-0.135982
0.116;-0.127902
0.1165;-0.114603
0.117;-0.109258
0.1175;-0.0985682
0.118;-0.103913
0.1185;-0.109258
0.119;-0.0959579
0.1195;-0.0959579
0.12;-0.111992
0.1205;-0.0959579
0.121;-0.0985682
0.1215;-0.0852683
0.122;-0.0880029
0.1225;-0.0745787
0.123;-0.0773133
0.1235;-0.0773133
0.124;-0.0666237
0.1245;-0.0745787
0.125;-0.0586686
0.1255;-0.055934
0.126;-0.0612788
0.1265;-0.0426342
0.127;-0.0346791
0.1275;-0.00534482
0.128;-0.00795507
0.1285;-0.00795507
0.129;0.00273454
0.1295;0.00273454
0.13;0.018769
0.1305;0.0106896
0.131;0.018769
0.1315;0.018769
0.132;0.0346791
0.1325;0.0400239
0.133;0.026724
0.1335;0.0239895
0.134;0.0160344
0.1345;0.026724
0.135;0.0213792
0.1355;0.0134242
0.136;0.0134242
0.1365;-0.00795507
0.137;-0.0212549
0.1375;-0.00261026
0.138;-0.0239895
0.1385;-0.0426342
0.139;-0.0319446
0.1395;-0.0533238
0.14;-0.0640134
0.1405;-0.0640134
0.141;-0.0745787
0.1415;-0.0959579
0.142;-0.0985682
0.1425;-0.122558
0.143;-0.130637
0.1435;-0.133247
0.144;-0.135982
0.1445;-0.157237
0.145;-0.143937
0.1455;-0.135982
0.146;-0.138592
0.1465;-0.130637
0.147;-0.135982
0.1475;-0.143937
0.148;-0.133247
0.1485;-0.130637
0.149;-0.127902
0.1495;-0.117337
0.15;-0.130637
0.1505;-0.143937
0.151;-0.117337
0.1515;-0.133247
0.152;-0.149282
0.1525;-0.130637
0.153;-0.146671
0.1535;-0.149282
0.154;-0.143937
0.1545;-0.135982
0.155;-0.149282
0.1555;-0.141327
0.156;-0.135982
0.1565;-0.146671
0.157;-0.127902
0.1575;-0.0959579
0.158;-0.114603
0.1585;-0.0745787
0.159;-0.0773133
0.1595;-0.0799235
0.16;-0.0692339
0.1605;-0.0426342
0.161;-0.0505892
0.1615;-0.055934
0.162;-0.0293343
0.1625;-0.0372894
0.163;-0.0319446
0.1635;-0.0372894
0.164;-0.0372894
0.1645;-0.0265997
0.165;-0.0372894
0.1655;-0.047979
0.166;-0.0346791
0.1665;-0.0586686
0.167;-0.0773133
0.1675;-0.0586686
0.168;-0.0826581
0.1685;-0.0719685
0.169;-0.0773133
0.1695;-0.0985682
0.17;-0.0933477
0.1705;-0.111992
0.171;-0.122558
0.1715;-0.143937
0.172;-0.149282
0.1725;-0.159971
0.173;-0.165316
0.1735;-0.162582
0.174;-0.186571
0.1745;-0.19465
0.175;-0.20534
0.1755;-0.199995
0.176;-0.210561
0.1765;-0.189306
0.177;-0.189306
0.1775;-0.21864
0.178;-0.181226
0.1785;-0.189306
0.179;-0.183961
0.1795;-0.183961
0.18;-0.19465
0.1805;-0.173271
0.181;-0.183961
0.1815;-0.189306
0.182;-0.178616
0.1825;-0.191916
0.183;-0.178616
0.1835;-0.19465
0.184;-0.189306
0.1845;-0.189306
0.185;-0.20534
0.1855;-0.19465
0.186;-0.20534
0.1865;-0.22933
0.187;-0.223985
0.1875;-0.234674
0.188;-0.234674
0.1885;-0.255929
0.189;-0.253319
0.1895;-0.271964
0.19;-0.287998
0.1905;-0.282653
0.191;-0.303908
0.1915;-0.306643
0.192;-0.311988
0.1925;-0.311988
0.193;-0.317332
0.1935;-0.327898
0.194;-0.341322
0.1945;-0.349277
0.195;-0.343932
0.1955;-0.362577
0.196;-0.367922
0.1965;-0.376001
0.197;-0.381222
0.1975;-0.383956
0.198;-0.402601
0.1985;-0.394646
0.199;-0.41329
0.1995;-0.429325
0.2;-0.445235
0.2005;-0.442625
0.201;-0.455925
0.2015;-0.479914
0.202;-0.490604
