T_env;HITEMP_intensity_ratio;Amplitude_ratio;Total_area_ratio;Trimmed-area_ratio
1800.0;0.845967;0.845186;0.877589;0.902977
1830.0;0.885660;0.884643;0.918278;0.944512
1860.0;0.925844;0.924543;0.959412;0.986486
1890.0;0.966490;0.964850;1.000955;1.028864
1920.0;1.007566;1.005525;1.042870;1.071627
1950.0;1.049043;1.046531;1.085124;1.114740
1980.0;1.090894;1.087829;1.127682;1.158161
2010.0;1.133090;1.129700;1.170672;1.201937
2040.0;1.175605;1.171613;1.213805;1.245924
2070.0;1.218414;1.213723;1.257149;1.290136
2100.0;1.261492;1.255994;1.300673;1.334549
